renderer	theme	weight	size_px	feature	digit_0_to_9_advance_px	spread_px
Chromium DOM Range	paper	400	22	pnum	11.140625,8.40625,11.125,10.5625,11,10.5625,10.65625,10.65625,10.390625,10.65625	2.734375
Chromium DOM Range	paper	400	30	tnum	14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625	0
Chromium DOM Range	paper	400	30	pnum	15.1875,11.46875,15.15625,14.40625,15,14.40625,14.53125,14.53125,14.171875,14.53125	3.71875
Chromium DOM Range	paper	400	32	tnum	15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375	0
Chromium DOM Range	paper	400	32	pnum	16.203125,12.234375,16.171875,15.375,16,15.375,15.5,15.5,15.109375,15.5	3.96875
Chromium DOM Range	paper	500	17	tnum	8.46875,8.46875,8.46875,8.46875,8.46875,8.46875,8.46875,8.46875,8.46875,8.46875	0
Chromium DOM Range	paper	500	17	pnum	9.078125,6.578125,8.734375,8.109375,8.890625,7.984375,8.46875,8.609375,8.5,8.578125	2.5
Chromium DOM Range	paper	500	22	tnum	10.953125,10.953125,10.953125,10.953125,10.953125,10.953125,10.953125,10.953125,10.953125,10.953125	0
Chromium DOM Range	paper	500	22	pnum	11.734375,8.515625,11.296875,10.484375,11.515625,10.34375,10.953125,11.140625,11,11.109375	3.21875
Chromium DOM Range	paper	500	30	tnum	14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375	0
Chromium DOM Range	paper	500	30	pnum	16,11.609375,15.40625,14.296875,15.6875,14.09375,14.9375,15.1875,15,15.140625	4.390625
Chromium DOM Range	paper	500	32	tnum	15.921875,15.921875,15.921875,15.921875,15.921875,15.921875,15.921875,15.921875,15.921875,15.921875	0
Chromium DOM Range	paper	500	32	pnum	17.078125,12.390625,16.421875,15.25,16.734375,15.03125,15.9375,16.203125,16,16.15625	4.6875
Chromium DOM Range	night	400	17	tnum	8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875	0
Chromium DOM Range	night	400	17	pnum	8.609375,6.5,8.59375,8.171875,8.5,8.171875,8.234375,8.234375,8.03125,8.234375	2.109375
Chromium DOM Range	night	400	22	tnum	10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625	0
Chromium DOM Range	night	400	22	pnum	11.140625,8.40625,11.125,10.5625,11,10.5625,10.65625,10.65625,10.390625,10.65625	2.734375
Chromium DOM Range	night	400	30	tnum	14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625	0
Chromium DOM Range	night	400	30	pnum	15.1875,11.46875,15.15625,14.40625,15,14.40625,14.53125,14.53125,14.171875,14.53125	3.71875
